Property Address,Property City,Property State,Property Type,Land Area AC,Land Area SF,Star Rating,Sale Price,Sale Date,Sale Status,Asking Price,Price Per AC Land,Price Per SF Land,Property Name,Buyer (True) Company,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Seller (True) Origin,Listing Broker Company,Secondary Type,Zoning,Submarket Name,Location Type,Property County,Property Zip Code,Corner,Map Code,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Longitude,Latitude
25 Crooked Rd,Annville,PA,Land,16.12,702187,,"$325,000 ",2/26/2021,Sold,,"20,161.30",0.46,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17003-1700,,,2/26/2021,3/12/2021,,,Public Record,-76.5856,40.3853
3768 Copenhaver Rd,Glenville,PA,Land,22.21,967646,,"$215,000 ",2/25/2021,Sold,,"9,678.54",0.22,,,,,,,,Agricultural,,York County,Suburban,York,17329-1732,,,3/1/2021,3/12/2021,,,Public Record,-76.87482,39.76171
6411 Golden Key Rd,Kempton,PA,Land,29.66,1292098,,"$2,816 ",2/25/2021,Sold,,94.94,0,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,19529-1952,,,2/26/2021,3/10/2021,,,Public Record,-75.80432,40.65834
50 Locker Rd,Eighty Four,PA,Land,5.2,226512,,"$235,000 ",2/22/2021,Sold,,"45,192.31",1.04,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/24/2021,3/11/2021,,,Public Record,-80.09003,40.25116
6777 Reynolds Dr,Preble,NY,Land,9.4,409464,,"$25,000 ",2/19/2021,Sold,,"2,659.57",0.06,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13141-1314,,,2/24/2021,3/10/2021,,,Public Record,-76.14515,42.73367
4044 Pine City Rd,Shippenville,PA,Land,60,2613600,,"$180,000 ",2/18/2021,Sold,,"3,000.00",0.07,,,,,,,,Agricultural,,,Suburban,Clarion,,,,2/18/2021,3/10/2021,,,Public Record,-79.49412,41.32051
1052 Lynn Portal Rd,Washington,PA,Land,3,130680,,"$46,000 ",2/17/2021,Sold,,"15,333.33",0.35,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/19/2021,3/8/2021,,,Public Record,-80.28995,40.21692
6230 Hickory Rd,Slatington,PA,Land,1.53,66777,,"$35,000 ",2/17/2021,Sold,,"22,831.21",0.52,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18080-1808,,,2/18/2021,3/3/2021,,,Public Record,-75.61238,40.70987
257 Ridge Rd,Jonestown,PA,Land,0.99,43124,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17038-1703,,,2/24/2021,3/9/2021,,,Public Record,-76.59177,40.46527
243 Arnold Lake Rd,Milford,NY,Land,96.64,4209638,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13807-1380,,,2/18/2021,3/5/2021,,,Public Record,-75.01344,42.61354
2779 Cedar Run Rd,Lebanon,PA,Land,49.17,2141845,,,2/17/2021,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17003-1704,,,2/19/2021,3/3/2021,,,Public Record,-76.51241,40.36417
695 Cly Rd,York Haven,PA,Land,33.02,1438394,,,2/16/2021,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17370-1737,,,2/17/2021,3/1/2021,,,Public Record,-76.7495,40.13455
60 Ridgewood Dr,McDonald,PA,Land,0.55,24093,,"$498,830 ",2/15/2021,Sold,,"901,881.66",20.7,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15057-1505,,,2/22/2021,3/11/2021,,,Public Record,-80.20637,40.31429
8630 Frenchtown Rd,Guys Mills,PA,Land,27.45,1195722,,"$600,000 ",2/12/2021,Sold,,"21,857.92",0.5,,,,,,,,Agricultural,,,Suburban,Crawford,16327-1632,,,2/12/2021,3/2/2021,,,Public Record,-80.01529,41.58675
