Address,City,State,Sale Status,Sale Category,Property Type,Rating,Land Area (AC),Land Area (SF),Sale Price,Price/Land (SF),Price Per AC Land,Days On Market,Sale Type,Name,Listing Broker Company,Sale Company Contact,Zoning,Market,Submarket,Zip,County,Longitude,Latitude
Rolling Stone Rd,Morrisdale,PA,Active,Land Sale,Land,2,"1,313.48",57215188,"3,500,000",0.06,"2,665.00",389,Investment or Owner User,BERKLEY,Southbound Enterprises LLC,Bill Smith,,Other Market Areas,Pennsylvania Central Area,16858,Clearfield,-78.1673949,41.00151
117 Jefferson St,Susquehanna,PA,Active,Land Sale,Land,2,884,38507040,"3,000,000",0.08,"3,394.00",597,Owner User,Prime Bluestone Quarry Portfolio,Hilco Real Estate,Jeff Azuse,,Other Market Areas,Pennsylvania Central Area,18847-9528,Susquehanna,-75.5756352,41.9609807
21308 Shade Valley Rd,Shade Gap,PA,Under Contract,Land Sale,Land,,751.77,32747101,"1,950,000",0.06,"2,594.00",120,Investment or Owner User,Seagrist,Berkshire Hathaway HomeSale Realty,William Shearer,Agricultural,Other Market Areas,Pennsylvania Central Area,17255,Huntingdon,-77.84449,40.20727
50 Polk Ln,Bridgeton,NJ,Active,Land Sale,Land,2,545,23740200,"8,179,000",0.35,"15,007.00",396,Investment or Owner User,Brock Farms Wholesale Production Nursery,Research in Progress,Research In Progress,,Philadelphia,Vineland/Bridgeton,08302-5901,Cumberland,-75.2289299,39.51474
Bald Mountain Rd,Bear Creek Township,PA,Under Contract,Land Sale,Land,2,498,21692880,"375,000",0.02,753,1439,Investment,,"The Daniel Perich Group, KW Commercial",Daniel Perich,A-1,Philadelphia,I-81 Corridor,18702,Luzerne,-75.75853,41.25331
179 Allen Rd,Clearville,PA,Active,Land Sale,Land,2,363.5,15834060,"1,467,000",0.09,"4,036.00",543,Investment or Owner User,Allen Stock Farm,Jim Allen,Jim Allen,AG,Other Market Areas,Altoona/Johnstown PA,15535-5644,Bedford,-78.2935884,39.85289
Sandy Hill Rd,Mayport,PA,Active,Land Sale,Land,,324,14113440,"1,215,000",0.09,"3,750.00",56,Owner User,,The Preferred Realty,Donald Powell,none,Other Market Areas,Pennsylvania Central Area,16240,Jefferson,-79.185409,41.032107
York Run Rd,Uniontown,PA,Active,Land Sale,Land,2,294.27,12818401,"1,300,000",0.1,"4,418.00",620,Investment or Owner User,,Coldwell Banker Laurel Ridge Realty,Paul Bortz,Ag/Rural,Pittsburgh,Fayette County,15401,Fayette,-79.7898214,39.8317732
600 Emeryville Rd,Gouverneur,NY,Active,Land Sale,Land,,290,12632400,,,,100,Investment or Owner User,Emeryville Land,Eastchester Equities Inc.,Sheldon Sontag,residential Vacant Land,Other Market Areas,Upstate New York Area,13642-3193,St Lawrence,-75.3818888,44.3019469
Meadow Run Rd,Bear Creek,PA,Active,Land Sale,Land,2,278.05,12111858,"700,000",0.06,"2,518.00",1225,Owner User,Development Site - 278.055+/- Acres,"City Brokers, LLC",Larissa Cleary,A-1 (Agricultural),Philadelphia,I-81 Corridor,18602,Luzerne,-75.71782,41.19167
156 W Colliers Mill Rd,New Egypt,NJ,Under Contract,Land Sale,Land,2,237,10323720,,,,368,Investment or Owner User,AUCTION | Two Preserved Farms Totaling 237 Ac,Max Spann Real Estate & Auction Company,Robert Dann,AR,Northern New Jersey,Ocean County,08533-2012,Ocean,-74.48088,40.06723
Route 70 & Route 539,Manchester,NJ,Active,Land Sale,Land,2,237,10323720,,,,1439,Owner User,Route 70 & Route 539,Lee & Associates Commercial Real Estate Service,Beth Chezmar,,Northern New Jersey,Ocean County,8733,Ocean,-74.3227768,40.0108376
7379 Lake Rd,Appleton,NY,Active,Portfolio Sale,Land,2,233.4,10166904,,,,830,Investment,,CBRE Buffalo,,,Buffalo/Niagara Falls,Outlying Niagara County,14008-9612,Niagara,,
Jackson Valley Rd,Mansfield,NJ,Active,Land Sale,Land,2,224,9757440,"900,000",0.09,"4,018.00",56,Investment,,"NAI James E. Hanson, Inc.",Sig Schorr,,Northern New Jersey,Warren County,7863,Warren,-74.9530135,40.7948076
County Road 40,Bloomfield,NY,Active,Land Sale,Land,2,218,9496080,"785,000",0.08,"3,601.00",273,Investment,,1075 Buffalo Road LLC,Mark Kircher,Agricultural,Rochester,Outlying Ontario County,14469,Ontario,-77.522761,42.845852
County Rt 19,Livingston,NY,Active,Land Sale,Land,2,196,8537760,"1,795,000",0.21,"9,158.00",950,Investment or Owner User,Green Pastures Farm,LeGrand Real Estate Inc,Thomas LeGrand,,Albany/Schenectady/Troy,Columbia County,12541,Columbia,-73.77836,42.14227
Sawmill Hill Rd,Stillwater,NY,Active,Land Sale,Land,,180,7840800,"4,000,000",0.51,"22,222.00",217,Investment or Owner User,LGAF Stillwater NY,D A Collins Const Co Inc,John Davidson,Rural Vacant,Albany/Schenectady/Troy,Saratoga County,12118,Saratoga,-73.7348396,42.9249324
222 W Newton Rd,Elizabeth,PA,Active,Land Sale,Land,,173,7535880,"1,800,000",0.24,"10,405.00",189,Investment or Owner User,222 W Newton Rd,Keller Williams Realty,Karen Marshall,Agr,Pittsburgh,South Pittsburgh/Rte 51,15037-9507,Allegheny,-79.83743,40.21746
438 Browns Rd,Storrs Mansfield,CT,Active,Land Sale,Land,2,158.61,6909051,"975,000",0.14,"6,147.00",550,Investment or Owner User,,Home Selling Team,Brian McCarthy,RAR90,Hartford,Tolland County,06268-2707,Tolland,-72.2380799,41.76319
251 Chester Ln,Summerhill,PA,Active,Land Sale,Land,2,151.5,6599340,"549,900",0.08,"3,630.00",729,Investment or Owner User,Mahood Farm,Commercial Choice Real Estate,David Reese,farm,Other Market Areas,Altoona/Johnstown PA,15958-4814,Cambria,-78.7344928,40.4023102
0 Broadway Rd,Alexander,NY,Active,Land Sale,Land,2,149.5,6512220,"599,000",0.09,"4,007.00",954,Investment or Owner User,,Howard Hanna Real Estate Services,Judy Conable,,Other Market Areas,Rochester Other Areas NY,14005,Genesee,-78.2626511,42.9035172
938 State Route 313,Cambridge,NY,Active,Land Sale,Land,,147,6403320,"600,000",0.09,"4,082.00",227,Investment,,Berkshire Hathaway Home Services - Greenbush,Rick Tinkham,,Albany/Schenectady/Troy,Washington County,12816-3116,Washington,-73.329829,43.064171
