,Address,City,County,Zip,State,Longitude,Latitude,Sale Price,Land Area (AC),Price Per AC Land,state_avg,Listing Broker Company,Sale Company Contact
0,Rolling Stone Rd,Morrisdale,Clearfield,16858,PA,-78.1673949,41.001509999999996,"3,500,000",1313.48,2665.0,7481.35867200686,Southbound Enterprises LLC,Bill Smith
1,117 Jefferson St,Susquehanna,Susquehanna,18847-9528,PA,-75.57563520000001,41.9609807,"3,000,000",884.0,3394.0,7481.35867200686,Hilco Real Estate,Jeff Azuse
2,179 Allen Rd,Clearville,Bedford,15535-5644,PA,-78.2935884,39.85289,"1,467,000",363.5,4036.0,7481.35867200686,Jim Allen,Jim Allen
3,Sandy Hill Rd,Mayport,Jefferson,16240,PA,-79.18540899999999,41.032107,"1,215,000",324.0,3750.0,7481.35867200686,The Preferred Realty,Donald Powell
4,York Run Rd,Uniontown,Fayette,15401,PA,-79.78982140000001,39.8317732,"1,300,000",294.27,4418.0,7481.35867200686,Coldwell Banker Laurel Ridge Realty,Paul Bortz
5,Meadow Run Rd,Bear Creek,Luzerne,18602,PA,-75.71781999999999,41.19167,"700,000",278.05,2518.0,7481.35867200686,"City Brokers, LLC",Larissa Cleary
6,Jackson Valley Rd,Mansfield,Warren,7863,NJ,-74.9530135,40.7948076,"900,000",224.0,4018.0,14262.831866186005,"NAI James E. Hanson, Inc.",Sig Schorr
7,251 Chester Ln,Summerhill,Cambria,15958-4814,PA,-78.7344928,40.4023102,"549,900",151.5,3630.0,7481.35867200686,Commercial Choice Real Estate,David Reese
8,2278 Monmouth Rd,Pemberton,Burlington,8041,NJ,-74.7193498,40.0205977,"819,000",141.0,5809.0,14262.831866186005,"Stanley Skeba Commercial Realty, LLC",Stanley Skeba
9,Bowmans Hill Rd,Clearfield,Clearfield,16830,PA,-78.4231493,41.0323727,"297,000",120.56,2464.0,7481.35867200686,Southbound Enterprises LLC,Bill Smith
10,464 Sulphur Springs Rd,Amsterdam,Montgomery,12010,NY,-74.19693249999999,42.8604402,"270,000",112.0,2411.0,2971.5522905496096,Vinyard's Choice,Roland Vinyard
11,156 Cider Mill Rd,Ringoes,Hunterdon,08551-1709,NJ,-74.80178000000001,40.47022,"1,340,000",109.0,12294.0,14262.831866186005,Weidel Realtors,Jo Ann Schwartz
12,2840 Woodlawn Ave,Jamestown,Chautauqua,14701,NY,-79.2159348,42.1215409,"220,500",105.0,2100.0,2971.5522905496096,Moon Brook Ranch,Paul Loverme
13,0 Rt 68,Mansfield,Burlington,8022,NJ,-74.70384229999999,40.1124514,"759,000",91.46,8299.0,14262.831866186005,RE/MAX Tri-County Realty,Susan Steber
14,115 Lower Oak Grove Rd,Frenchtown,Hunterdon,08825-4209,NJ,-74.97241,40.52641,"899,900",82.5,10908.0,14262.831866186005,Weidel Real Estate,Judit Hendricks
15,679 County Road 513,Pittstown,Hunterdon,08867-5162,NJ,-74.9940783,40.578526700000005,"825,000",75.76,10890.0,14262.831866186005,The Hunterdon Group,Aram Papazian
16,758 Evergreen Rd,Leechburg,Armstrong,15656-8258,PA,-79.60280999999999,40.65315,"549,000",75.56,7266.0,7481.35867200686,Hanna Langholz Wilson Ellis,Cathy Tresco
17,42 Chesterfield Georgetown Rd,Chesterfield,Burlington,08515-9645,NJ,-74.64733790000001,40.108825700000004,"869,000",69.0,12594.0,14262.831866186005,RE/MAX Tri-County Realty,Susan Steber
18,255 Route 68,Jobstown,Burlington,08041-2205,NJ,-74.6512129,40.0510343,"590,000",55.0,10727.0,14262.831866186005,KNC Realty LLC,Ken Choi
19,0 Pleasanton Dr,Otego,Otsego,13825,NY,-75.2375349,42.3691064,"98,500",48.04,2050.0,2971.5522905496096,Keller Williams Upstate NY Properties,Stacey Frazier
20,Hindsburg,Clarendon,Orleans,14470,NY,-78.10601,43.189545,"64,900",23.8,2727.0,2971.5522905496096,Howard Hanna Real Estate Services,Brom Bianchi
21,1726 County Road 519,Pittstown,Hunterdon,08867-5039,NJ,-75.0457165,40.5754915,"249,900",20.95,11928.0,14262.831866186005,RE/MAX Results Realty,Walter Klim
22,144 Cedar Lake Rd,Newfield,Atlantic,8344,NJ,-74.9505054,39.544691799999995,"98,500",20.0,4925.0,14262.831866186005,Eagle Commercial Real Estate,Anthony Pustizzi
